Kennzeichen,Beispiel
PZ,Audiovisueller Alarm
PZ,Fernsehgerät
PZ,"Ein Fernsehgerät oder Fernsehapparat, in den 1930er Jahren auch Ferntonkino, ist ein Gerät zum Empfang und zur Wiedergabe von analogen und digitalen Fernsehsignalen. "
QA,Steuerobjekt für elektrischen Strom in einem Schaltkreis
QA,Stromsteuerungsobjekt
QA,"Strom steht für Physik und Technik: einen gerichteten Transport, siehe Strom Elektrischer StromGewässerkunde: Strom : größerer Fluss, der ins offene Meer mündet Meeresströmung: Massenbewegung im. . Objekt steht für: Sache Gegenstand Rechtsobjekt Wirtschaftsobjekt entmenschlichtes Wesen, siehe Objektifizierung Objekt , ein grammatikalisches Satzglied Objekt , philosophisches Konzept ein mathematisches Objekt Objekt ,. "
QA,Schütz
QA,"Schütz steht für: Schütz – zu Namensträgern siehe dortSchütz , eine Vorrichtung zur Regelung des Wasserdurchlaufs Schütz , elektrischer Schalter für hohe Stromlasten Schütz, ein. "
QA,Leistungsschalter
QA,"Leistung steht für: Leistung , physikalische Größe: Quotient aus Arbeit und Zeit Leistung , Sendeleistung Leistung , Verkehrswert einer Anlage Leistung , Betriebsertrag Leistung ,. Schalter bezeichnet: Schalter , mechanisch betätigtes elektrisches Bauelement elektronischer Schalter, Halbleiter-Bauelement Boolesche Variable, in der Digitaltechnik und Logik ein mehr oder minder komplexer Boolescher Wert. "
QA,Defibrillator
QA,"Ein Defibrillator, auch Schockgeber, oder im Fachjargon und als Handelsname Defi, ist ein medizinisches Gerät zur Defibrillation und unter Umständen zur Kardioversion. "
QA,elektronischerleistungsschalter
QA,". . . Tung steht für: Tung , Längenmaß auf SumatraPersonen: Tung Chau Man , Badmintonspielerin aus Hongkong Tung Chee-hwa , chinesischer Geschäftsmann und Politiker Falani Chan Tung,. Schalter bezeichnet: Schalter , mechanisch betätigtes elektrisches Bauelement elektronischer Schalter, Halbleiter-Bauelement Boolesche Variable, in der Digitaltechnik und Logik ein mehr oder minder komplexer Boolescher Wert. "
QA,Motoranlasser
QA,"Ein Motor ist eine Kraftmaschine, die mechanische Arbeit verrichtet, indem sie eine Energieform, z. Anlass steht für: äußerer Beweggrund, siehe Motivation #Extrinsische Quellen Ereignis Veranstaltung. "
QA,Solidstateleistungstransistor
QA,"Sol steht für: Sonne in der lateinischen Sprache Sol , osmanische Rangbezeichnung für Feldwebel Sol , eine germanische Sonnengöttin Sol , den römischen Sonnengott ,. ID steht für: ID , ein unbetiteltes und zumeist unvollendetes Musikstück Idaho, Bundesstaat der Vereinigten Staaten Identifikator, eine Kennung Identität und Demokratie, Fraktion im Europäischen. Eis ist der dritte Aggregatzustand, die feste Phase von Wasser. Tung steht für: Tung , Längenmaß auf SumatraPersonen: Tung Chau Man , Badmintonspielerin aus Hongkong Tung Chee-hwa , chinesischer Geschäftsmann und Politiker Falani Chan Tung,. Ein Transistor ist ein elektronisches Halbleiter-Bauelement zum Steuern oder Verstärken meistens niedriger elektrischer Spannungen und Ströme. "
QA,Thyristor
QA,Thyristor ist die Bezeichnung für ein Bauteil in der Elektrotechnik. 
QA,Röhrenleistungstransistor
QA,"Röhr steht für: Röhr , ein Nebenfluss der Ruhr in Nordrhein-Westfalen, Deutschland Erich Röhr Maschinenfabrik, deutscher Hersteller von Traktoren Röhr Auto, von Hans Gustav Röhr. . Leistung steht für: Leistung , physikalische Größe: Quotient aus Arbeit und Zeit Leistung , Sendeleistung Leistung , Verkehrswert einer Anlage Leistung , Betriebsertrag Leistung ,. Ein Transistor ist ein elektronisches Halbleiter-Bauelement zum Steuern oder Verstärken meistens niedriger elektrischer Spannungen und Ströme. "
QB,Steuerobjekt durch Trennen elektrischer Stromkreise
QB,Elektrisches Trennobjekt
QB,Trennschalter
QB,". Schalter bezeichnet: Schalter , mechanisch betätigtes elektrisches Bauelement elektronischer Schalter, Halbleiter-Bauelement Boolesche Variable, in der Digitaltechnik und Logik ein mehr oder minder komplexer Boolescher Wert. "
QB,Sicherungstrennschalter
QB,"Sicherung steht für: Technik: Überstromschutzeinrichtung, elektrische Sicherung, eine Schutzschaltung gegen Überlast Schmelzsicherung, eine elektrische Sicherung mit Schmelzleiter Schraubsicherung, eine weitverbreitete Bauform der elektrischen Schmelzsicherung Leitungsschutzschalter,. . . Schalter bezeichnet: Schalter , mechanisch betätigtes elektrisches Bauelement elektronischer Schalter, Halbleiter-Bauelement Boolesche Variable, in der Digitaltechnik und Logik ein mehr oder minder komplexer Boolescher Wert. "
QB,gesicherter Trennschalter
QB,sicherungsloser Trennschalter
QB,Lasttrennschalter
QB,"Last steht für: Last , mittelalterliche Maßeinheit für Getreide und Messgröße für Schiffsvolumina Last , ein altes Stück- und Zählmaß Last , in der Seemannssprache. . Schalter bezeichnet: Schalter , mechanisch betätigtes elektrisches Bauelement elektronischer Schalter, Halbleiter-Bauelement Boolesche Variable, in der Digitaltechnik und Logik ein mehr oder minder komplexer Boolescher Wert. "
QB,Sicherungslasttrennschalter
QB,"Sicherung steht für: Technik: Überstromschutzeinrichtung, elektrische Sicherung, eine Schutzschaltung gegen Überlast Schmelzsicherung, eine elektrische Sicherung mit Schmelzleiter Schraubsicherung, eine weitverbreitete Bauform der elektrischen Schmelzsicherung Leitungsschutzschalter,. . Schalter bezeichnet: Schalter , mechanisch betätigtes elektrisches Bauelement elektronischer Schalter, Halbleiter-Bauelement Boolesche Variable, in der Digitaltechnik und Logik ein mehr oder minder komplexer Boolescher Wert. "
QC,Steuerobjekt durch Erdung elektrischer Stromkreise
QC,Elektrisches Erdungsobjekt
QC,Erdungsschalter
QC,"Als Erdung bezeichnet man die Ableitung elektrischer Ströme in die Erde. Schalter bezeichnet: Schalter , mechanisch betätigtes elektrisches Bauelement elektronischer Schalter, Halbleiter-Bauelement Boolesche Variable, in der Digitaltechnik und Logik ein mehr oder minder komplexer Boolescher Wert. "
QM,Steuerobjekt zum Aktivieren/Deaktivieren von Flüssigkeiten in verschlossenen Umschließungen
QM,Schaltobjekt für eingeschlossene Flüssigkeiten
QM,Ablaufhahn
QM,"Ablauf bezeichnet: den Vorgang eines Geschehens, siehe Prozess Ablaufzeitpunkt einer Frist , siehe Termin Arbeitsablauf, vordefinierte Abfolge von Aktivitäten in der Arbeitswelt Programmablauf, vordefinierte Abfolge. Hahn bezeichnet folgende Tiere: männliches Haushuhn männliches Tier diverser anderer Vögel, siehe Liste der Bezeichnungen für Haus- und WildtiereHahn steht für: Hahn , ein Tierkreiszeichen. "
QM,Wasserhahn
QM,"Wasser ist insbesondere die chemische Verbindung H2O, bestehend aus den Elementen Sauerstoff und Wasserstoff. Hahn bezeichnet folgende Tiere: männliches Haushuhn männliches Tier diverser anderer Vögel, siehe Liste der Bezeichnungen für Haus- und WildtiereHahn steht für: Hahn , ein Tierkreiszeichen. "
QM,Gassperrventil
QM,Neben fest und flüssig ist gasförmig einer der drei klassischen Aggregatzustände. Sperrventile sind Ventile – insbesondere Hydraulikventile – die einen Volumenstrom eines Gases oder einer Flüssigkeit absperren können. 
QM,Flüssigkeitsabsperrventil
QM,Eine Flüssigkeit ist Materie im flüssigen Aggregatzustand. Ein Absperrventil ist eine Armatur zum kontrollierten Öffnen oder Schließen von Durchströmöffnungen oder Rohrleitungen. 
QM,Einausklappe
QM,Stopfen
QN,Steuerobjekt zum Variieren des Flüssigkeitsstroms in verschlossenen Umschließungen
QN,Variierobjekt für eingeschlossene Flüssigkeiten
QN,Regelklappe
QN,Gasregelventil
QN,"Neben fest und flüssig ist gasförmig einer der drei klassischen Aggregatzustände. Regel steht für: Regel , in Übereinkunft festgelegt Spielregel bei Gesellschaftsspielen, als Kurzform Wettkampfregel im Sport, als Kurzform umgangssprachlich die MenstruationRegel ist der Familienname folgender. Ein Ventil ist ein Bauteil zur Absperrung oder Steuerung des Durchflusses von Fluiden. "
QN,Flüssigkeitsregelventil
QN,"Eine Flüssigkeit ist Materie im flüssigen Aggregatzustand. Regel steht für: Regel , in Übereinkunft festgelegt Spielregel bei Gesellschaftsspielen, als Kurzform Wettkampfregel im Sport, als Kurzform umgangssprachlich die MenstruationRegel ist der Familienname folgender. Ein Ventil ist ein Bauteil zur Absperrung oder Steuerung des Durchflusses von Fluiden. "
QP,Steuerobjekt für Flüssigkeiten in offener Umgebung
QP,Steuerobjekt für offenen Fluss
QP,Dammplatte
QP,"Damm steht für: Damm, Wasserschutz an Fluss- oder Meerufern, siehe Deich Damm , künstlich errichteter Wall aus einer Erd- oder Felsschüttung Staudamm, künstlich errichteter Wall. "
QP,Flüssigkeitsdurchgang
QP,"Eine Flüssigkeit ist Materie im flüssigen Aggregatzustand. Ein Durchgang oder eine Passage ist ein astronomisches Ereignis: Allgemein das scheinbare Zusammentreffen zweier astronomischer Objekte, z. "
QP,Schleusentor
QP,Ein Schleusentor ist ein nahezu wasserdichter Verschluss einer Schleusenkammer. 
QP,Stringer
QP,". Ing steht für: Ing , ein Zufluss des Mekong in Nord-Thailand Ingwio , der Name der wichtigsten Gottheit des Germanenstammes der Ingaevonen siehe Yngvi #Mythologie. "
QP,Stopfen
QP,Ruder
QP,"Das Ruder ist die Einrichtung eines Schiffes oder Flugzeuges, die zur Richtungsänderung dient, indem es Drehmomente aus dem umströmenden Medium erzeugt. "
QP,Grenzschichtzaun Tragflügel
QP,Turbulator
QP,"Ein Turbulator oder Turbulenz- oder Vortexgenerator bezeichnet in der Aerodynamik eine kleine künstlich aufgebrachte Oberflächenstörung, die eine laminare Grenzschicht in eine turbulente überführt, um einen. "
QP,Wirbelerzeuger
QP,"Wirbel wirbil, wirvil, aus werban, werfan „sich drehen“) bezeichnet: eine Bewegungsart bei Strömungen, siehe Strudel eine um eine gemeinsame Mittellinie kreisende Strömung, siehe Wirbel Luftwirbel:. Erzeuger steht für: Genitor, diejenigen Lebewesen, die im Rahmen der Fortpflanzung ihre Erbanlagen an Nachkommen weitergegeben haben biologische Elternschaft eines Kindes Hersteller von Erzeugnissen und. "
QQ,Steuerobjekt für einen Raum
QQ,Raumzugangsobjekt
QQ,"Raum steht für: Zimmer, ein zum Nutzen verwendeter, umschlossener Teil eines Gebäudes Universum, Weltraum, nicht fest eingegrenzte physikalische Ausdehnung Volumen, eine in Länge, Breite, Höhe. Zugang ist ein Rechtsbegriff, der die Rechtswirksamkeit empfangsbedürftiger Willenserklärungen beschreibt. Objekt steht für: Sache Gegenstand Rechtsobjekt Wirtschaftsobjekt entmenschlichtes Wesen, siehe Objektifizierung Objekt , ein grammatikalisches Satzglied Objekt , philosophisches Konzept ein mathematisches Objekt Objekt ,. "
QQ,Tür
QQ,"Eine Tür, vor allem ober- und mitteldeutsch auch Türe, ist ein bewegliches Bauelement zum Verschließen einer Öffnung , welches nach dem Öffnen den Durchtritt oder. "
QQ,Notluke
QQ,Tor
QQ,"Tor steht für: Thor oder Tor , nordischer Vorname Tor , Öffnung in einem Gebäude, einer Mauer oder einem Zaun Tor , Wappenfigur in der. "
QQ,Luke
QQ,"Der Ausdruck Luke bezeichnet eine meist durch eine Klappe verschließbare Öffnung in Böden, Wänden oder Dächern; Luk bezeichnet eine „Öffnung im Deck oder in der. "
QQ,große Tür
QQ,Riegel zum Öffnen
QQ,Vorlegerblock
QQ,"Ein Vorleger ist ein Teppich oder eine Matte, die vor etwas, zum Beispiel ein Möbelstück, gelegt wird. Block steht für: Notizblock Collegeblock Felsblock Vulkanischer Block, aus einem Vulkan ausgeschleuderte eckige Gesteinsfragmente Teil einer metallenen Blockkette Block , siehe dort auch Namensträger Block. "
QQ,Fenster
QQ,Als Fenster zu lat. 
QQ,Fenstereinheit
QQ,"Als Fenster zu lat. Einheit steht für: Maßeinheit, physikalische Größe Einheit , Element der Algebra Einheit von Zeit, Ort und Handlung in der Dramentheorie, siehe Drei Aristotelische Einheitenorganisatorisch: Organisationseinheit,. "
QR,Steuerobjekt für feste Substanzen
QR,Variierobjekt für feste Substanzen
QR,Dosierer
QR,Klappenventil
QR,"Klappe steht für: Babyklappe, eine Einrichtung zur anonymen Säuglingsabgabe Filmklappe, ein Hilfsmittel bei der Filmproduktion Fliegenklappe, eine Fliegenklatsche Klappe , ein österreichisches Filmfestival Schulterklappe, Uniformstückim. Ein Ventil ist ein Bauteil zur Absperrung oder Steuerung des Durchflusses von Fluiden. "
QR,Irisventil
QR,"Iris steht für: Iris , weiblicher Vorname Iris , griechische Göttin Iris , Regenbogenhaut im Auge Iris, die Pflanzengattung der Schwertlilien Iris , eine Gattung. Ein Ventil ist ein Bauteil zur Absperrung oder Steuerung des Durchflusses von Fluiden. "
QR,Luftschleusendrehventil
QR,Nach der DIN 1946 Teil 1 ist die Luftschleuse der „Raum zur verkehrsmäßigen Verbindung bei luftmäßiger Trennung von Bereichen unterschiedlichen Luftstandards mit mindestens zwei gegenseitig. . 
QS,Steuerobjekt für mechanische Bewegung
QS,Objekt zur Steuerung mechanischer Bewegungen
QS,Verriegelung
QS,Eine Verriegelung ist eine gewollte und zum Teil nötige Blockierung. 
QS,Schloss
QS,"Schloss oder Schloß steht für: Schloss , Gebäude oder Gebäudekomplex des Adels Schloss , Vorrichtung zur Verwehrung unbefugten Zugangs Schloss , Mechanismus zur Zündung der. "
QS,Eisenbahnweiche
QS,. 
QS,Schienenweiche
QZ,Steuerobjekt in elektrischen Kreisen durch Verwenden verschiedener Maßnahmen
QZ,Mehrfachsteuerobjekt
QZ,"Als Steuer wird eine Geldleistung ohne Anspruch auf Gegenleistung bezeichnet, die ein öffentlich-rechtliches Gemeinwesen zur Erzielung von Einnahmen allen auferlegt, die einen steuerpflichtigen Tatbestand verwirklichen. Objekt steht für: Sache Gegenstand Rechtsobjekt Wirtschaftsobjekt entmenschlichtes Wesen, siehe Objektifizierung Objekt , ein grammatikalisches Satzglied Objekt , philosophisches Konzept ein mathematisches Objekt Objekt ,. "
QZ,Erdungs und Trennschalter
RA,Begrenzungsobjekt durch Einschränken des elektrischen Energieflusses
RA,Elektrizitätsbegrenzungsobjekt
RA,"Elektrizität ist der physikalische Oberbegriff für alle Phänomene, die ihre Ursache in ruhender oder bewegter elektrischer Ladung haben. . Objekt steht für: Sache Gegenstand Rechtsobjekt Wirtschaftsobjekt entmenschlichtes Wesen, siehe Objektifizierung Objekt , ein grammatikalisches Satzglied Objekt , philosophisches Konzept ein mathematisches Objekt Objekt ,. "
RA,Diode
RA,"Eine Diode ist ein elektronisches Bauelement, das Strom in einer Richtung passieren lässt und in der anderen Richtung den Stromfluss sperrt. "
RA,Begrenzer
RA,"Begrenzer steht für: Begrenzer in der Elektroakustik, siehe Limiter Drehzahlbegrenzer bei Verbrennungskraftmaschinen Druckbegrenzer, elektromechanisches Bauteil für Druckgeräte Geschwindigkeitsbegrenzer, Einrichtung zur Begrenzung der Fahrzeughöchstgeschwindigkeit Überspannungsableiter, Bauteil. "
RA,Reaktor
RA,"Reaktor bezeichnet einen abgegrenzten Raum , der speziell dafür konstruiert und hergestellt wurde, um darin unter definierten Bedingungen bestimmte Reaktionen ablaufen lassen und steuern zu. "
RA,Widerstand
RA,Serienreaktor
RA,"Serie bezeichnet: Fernsehserie, eine Abfolge von zusammenhängenden filmischen Werken im Fernsehen Schriftenreihe, eine Serie von Heften oder Bänden zu einem eingegrenzten Themenfeld Fortsetzungsgeschichte, fortlaufend veröffentlichte. Reaktor bezeichnet einen abgegrenzten Raum , der speziell dafür konstruiert und hergestellt wurde, um darin unter definierten Bedingungen bestimmte Reaktionen ablaufen lassen und steuern zu. "
RB,Begrenzungsobjekt durch Stabilisation eines elektrischen Energieflusses
RB,Elektrizitätsstabilisierungsobjekt
RB,"Elektrizität ist der physikalische Oberbegriff für alle Phänomene, die ihre Ursache in ruhender oder bewegter elektrischer Ladung haben. Stabilisierung, auch Stabilisation, steht für: das Herstellen von Stabilität, siehe Stabilitätstheorie Stabilisierung , Reaktion von Drittstaaten auf den Zusammenbruch staatlicher Ordnung Stabilisierung , das Beibehalten. Objekt steht für: Sache Gegenstand Rechtsobjekt Wirtschaftsobjekt entmenschlichtes Wesen, siehe Objektifizierung Objekt , ein grammatikalisches Satzglied Objekt , philosophisches Konzept ein mathematisches Objekt Objekt ,. "
RB,Phasenkompensator
RB,"Phase steht für: Phase , räumlicher Bereich mit gleichartigen physikalischen und chemischen Eigenschaften Phasenwinkel, die aktuelle Position im Ablauf eines periodischen Vorgangs Ursprungswinkel einer komplexen. Kompensator steht für: Kompensator , eine Einrichtung bei optischen Vermessungsgeräten Kompensator , eine elektrische Messeinrichtung Kompensator , eine Armatur Kompensation , spezielle Bauweisen gegen thermische. "
RB,Leistungausgleicher
RB,"Leistung steht für: Leistung , physikalische Größe: Quotient aus Arbeit und Zeit Leistung , Sendeleistung Leistung , Verkehrswert einer Anlage Leistung , Betriebsertrag Leistung ,. Ausgleich steht für: Vergleich Umverteilung in der Finanz- und Sozialpolitik Ausgleichungsrechnung zur optimalen Auswertung von Messdaten Ausgleichsmaßnahme im NaturschutzSchadensausgleich: Entschädigung Schadensersatz Täter-Opfer-Ausgleich Zwangsausgleich im Insolvenzrechtim. "
RB,Leistungsfaktorkorrektursystem
RB,"Leistung steht für: Leistung , physikalische Größe: Quotient aus Arbeit und Zeit Leistung , Sendeleistung Leistung , Verkehrswert einer Anlage Leistung , Betriebsertrag Leistung ,. Faktor steht für: Operand einer Multiplikation, siehe Multiplikation #Namensgebung Faktor , Teilgraph in der Graphentheorie eine spezielle Von-Neumann-Algebra Faktor , Zahlenwert in der Maßanalyse oder. Eine Korrektur ist allgemein eine nachträgliche Veränderung eines Objekts, die nur einen vergleichsweise kleinen Teil betrifft, und als verbessernde Maßnahme dient. Als System wird im Allgemeinen ein abgrenzbares, natürliches oder künstliches „Gebilde“ bezeichnet, das aus verschiedenen Komponenten mit unterschiedlichen Eigenschaften besteht, die aufgrund bestimmter geordneter Beziehungen. "
RB,Leistungsfaktorkorrektureinheit
RB,"Leistung steht für: Leistung , physikalische Größe: Quotient aus Arbeit und Zeit Leistung , Sendeleistung Leistung , Verkehrswert einer Anlage Leistung , Betriebsertrag Leistung ,. Faktor steht für: Operand einer Multiplikation, siehe Multiplikation #Namensgebung Faktor , Teilgraph in der Graphentheorie eine spezielle Von-Neumann-Algebra Faktor , Zahlenwert in der Maßanalyse oder. Eine Korrektur ist allgemein eine nachträgliche Veränderung eines Objekts, die nur einen vergleichsweise kleinen Teil betrifft, und als verbessernde Maßnahme dient. Einheit steht für: Maßeinheit, physikalische Größe Einheit , Element der Algebra Einheit von Zeit, Ort und Handlung in der Dramentheorie, siehe Drei Aristotelische Einheitenorganisatorisch: Organisationseinheit,. "
RB,Leistungsfilter
RB,"Leistung steht für: Leistung , physikalische Größe: Quotient aus Arbeit und Zeit Leistung , Sendeleistung Leistung , Verkehrswert einer Anlage Leistung , Betriebsertrag Leistung ,. Filter steht für: Geräte, Bauteile oder Baugruppen: Fluidtechnik: Filter , eine Vorrichtung zur Trennung von Medien, beispielsweise ein KaffeefilterElektrotechnik: Filter , eine elektrische Schaltung, die. "
RB,unterbrechungsfreie Stromversorgung
RB,Usv
RB,Spannungskompensator
RB,"Spannung steht für: Elektrische Spannung, eine physikalische Größe, die das spezifische Arbeitsvermögen der Ladung angibt Mechanische Spannung, über einen Querschnitt verteilte Kraft pro Flächeneinheit, welche. Kompensator steht für: Kompensator , eine Einrichtung bei optischen Vermessungsgeräten Kompensator , eine elektrische Messeinrichtung Kompensator , eine Armatur Kompensation , spezielle Bauweisen gegen thermische. "
RF,Begrenzungsobjekt zur Stabilisierung eines Signals
RF,Signalstabilisierungsobjekt
RF,"Ein Signal ist ein Zeichen mit einer bestimmten Bedeutung, die das Signal durch Verabredung oder durch Vorschrift erhält. Stabilisierung, auch Stabilisation, steht für: das Herstellen von Stabilität, siehe Stabilitätstheorie Stabilisierung , Reaktion von Drittstaaten auf den Zusammenbruch staatlicher Ordnung Stabilisierung , das Beibehalten. Objekt steht für: Sache Gegenstand Rechtsobjekt Wirtschaftsobjekt entmenschlichtes Wesen, siehe Objektifizierung Objekt , ein grammatikalisches Satzglied Objekt , philosophisches Konzept ein mathematisches Objekt Objekt ,. "
RF,Ferrit
RF,"Ferrit steht für: Ferrit , Gefügebestandteil von Stahl oder Gusseisen Ferrit , eine Modifikation des Eisens eine ferrimagnetische Oxidkeramik, siehe FerriteSiehe auch:. "
RF,Signalausgleicher
RF,"Ein Signal ist ein Zeichen mit einer bestimmten Bedeutung, die das Signal durch Verabredung oder durch Vorschrift erhält. Ausgleich steht für: Vergleich Umverteilung in der Finanz- und Sozialpolitik Ausgleichungsrechnung zur optimalen Auswertung von Messdaten Ausgleichsmaßnahme im NaturschutzSchadensausgleich: Entschädigung Schadensersatz Täter-Opfer-Ausgleich Zwangsausgleich im Insolvenzrechtim. "
RF,Signalfilter
RF,"Ein Signal ist ein Zeichen mit einer bestimmten Bedeutung, die das Signal durch Verabredung oder durch Vorschrift erhält. Filter steht für: Geräte, Bauteile oder Baugruppen: Fluidtechnik: Filter , eine Vorrichtung zur Trennung von Medien, beispielsweise ein KaffeefilterElektrotechnik: Filter , eine elektrische Schaltung, die. "
RL,Begrenzungsobjekt zur Begrenzung von Bewegung
RL,Bewegungsbegrenzungsobjekt
RL,"Bewegung steht für: Bewegung , Ortsveränderung mit der Zeit Bewegung , Positions- und Lageveränderungen von Gelenken Bewegung , affine Drehung oder Drehspiegelung im Raum Bewegung. . Objekt steht für: Sache Gegenstand Rechtsobjekt Wirtschaftsobjekt entmenschlichtes Wesen, siehe Objektifizierung Objekt , ein grammatikalisches Satzglied Objekt , philosophisches Konzept ein mathematisches Objekt Objekt ,. "
RL,Bremse
RL,Türkette
RL,"Eine Türkette ist eine Sicherheitseinrichtung, die vor allem an Eingangstüren Verwendung findet. "
RL,Ankerschiene
RL,"Eine Ankerschiene ist ein Profilstahl mit Ankern, der in Beton eingebaut bzw. "
RL,Gummitülle
RL,"In der Botanik werden als Gummi bestimmte Pflanzensäfte bezeichnet, die aus verletzten Stellen austreten. Als Tüll bezeichnet man ein netzartiges Gewebe. "
RL,Sicherheitskette
RL,Stoßdämpfer
RL,"Der Stoßdämpfer ist bei Fahrwerken ein sicherheitsrelevantes Bauteil, das die Schwingungen der gefederten Masse schnell abklingen lässt, sowie die Schwingung der ungefederten Masse auf der. "
RL,Bodenschwelle
RL,"Der Begriff Bodenschwelle bezeichnet eine Schwelle, zum Beispiel eine Türschwelle eine Bremsschwelleoder eine geologische Formation – siehe Anhöhe. "
RM,Begrenzungsobjekt zur Begrenzung des Rückflusses von Stoffen
RM,Rückflussbegrenzungsobjekt
RM,". . Objekt steht für: Sache Gegenstand Rechtsobjekt Wirtschaftsobjekt entmenschlichtes Wesen, siehe Objektifizierung Objekt , ein grammatikalisches Satzglied Objekt , philosophisches Konzept ein mathematisches Objekt Objekt ,. "
RM,Klappe
RM,Drosselklappe
RM,Drosselklappe steht für: Drosselklappe Drosselklappe. 
RM,Rückschlagventil
RM,"Rückschlag bezeichnet die verstärkte Rückkehr einer Krankheit nach medizinischer Behandlung, siehe Rückschlag das Zurückschlagen des Balls bei einem Rückschlagspiel eine deutsche Exklave, siehe Rückschlag in. Ein Ventil ist ein Bauteil zur Absperrung oder Steuerung des Durchflusses von Fluiden. "
RM,Geruchsverschluss
RM,"Der Geruch ist die Interpretation der Sinneserregungen, die von den Chemorezeptoren der Nase oder anderer Geruchsorgane an das Gehirn eines Tieres übermittelt werden. Verschluss steht für: ein mechanisches Verschlusselement, siehe Schließe Verschluss , bewegliches Element einer Fotokamera Verschluss , Baugruppe bei Schusswaffen Verschluss eines Blutgefäßes, siehe Embolie Darmverschluss,. "
RN,Begrenzungsobjekt zur Begrenzung des geführten Rückflusses von Stoffen
RN,Durchflussbegrenzer
RN,"Durchfluss steht für: Volumenstrom, eine Messgröße einer Menge eines fließenden oder strömenden Mediums Abfluss, Volumenstrom in der Hydrologie Abzug , Gas- oder Luftvolumen pro Zeit. Begrenzer steht für: Begrenzer in der Elektroakustik, siehe Limiter Drehzahlbegrenzer bei Verbrennungskraftmaschinen Druckbegrenzer, elektromechanisches Bauteil für Druckgeräte Geschwindigkeitsbegrenzer, Einrichtung zur Begrenzung der Fahrzeughöchstgeschwindigkeit Überspannungsableiter, Bauteil. "
RN,Einstellbare Düse
RN,Lufteinlass
RN,"Als Luft bezeichnet man das Gasgemisch der Erdatmosphäre. Einlass steht für: Eingangsbereich eines Gebäudes, siehe Erschließung Zugangserlaubnis durch einen Türsteher gesteuerter Zufluss von Wasser in der Hydrologie, siehe EinlaufbauwerkEinlaß steht für: Einlaß, unter. "
RN,Luftauslass
RN,Als Luft bezeichnet man das Gasgemisch der Erdatmosphäre. 
RN,Diffusor
RN,"Diffusor steht für: Diffusor , Element zum Zerstreuen von Schall Diffusor , Aufsatz zur Streuung des Blitzlichts Diffusor , Bauteil bei Rennwagen Diffusor , Element. "
RN,Absperrhahn
RN,"Der Absperrhahn ist eine Armatur, die den Durchfluss eines Fluids in einer Rohrleitung ganz freigibt oder ganz sperrt. "
RN,feste Düse
RN,Messblende
RN,Regelklappe
RN,Regelventil
RN,"Regel steht für: Regel , in Übereinkunft festgelegt Spielregel bei Gesellschaftsspielen, als Kurzform Wettkampfregel im Sport, als Kurzform umgangssprachlich die MenstruationRegel ist der Familienname folgender. Ein Ventil ist ein Bauteil zur Absperrung oder Steuerung des Durchflusses von Fluiden. "
RN,Dusche
RN,Duschkopf
RN,. 
RN,Regelventil für Feststoffe
RN,Lüftungseinlass
RN,"Lüftung oder Lüften bezeichnet die Erneuerung der Raumluft durch den Austausch von Luft zwischen Außen- und Innenräumen in Bauwerken. Einlass steht für: Eingangsbereich eines Gebäudes, siehe Erschließung Zugangserlaubnis durch einen Türsteher gesteuerter Zufluss von Wasser in der Hydrologie, siehe EinlaufbauwerkEinlaß steht für: Einlaß, unter. "
RN,Lüftungsauslass
RN,Lüftung oder Lüften bezeichnet die Erneuerung der Raumluft durch den Austausch von Luft zwischen Außen- und Innenräumen in Bauwerken. 
RQ,Begrenzungsobjekt für die lokale Umgebung
RQ,Lokales klimastabilisierungsobjekt
RQ,Ausmauerung
RQ,Klimamembran
RQ,"Das Klima ist der mit meteorologischen Methoden ermittelte Durchschnitt der dynamischen Prozesse in der Erdatmosphäre: als Zusammenfassung der Wettererscheinungen kleinräumiger Örtlichkeiten oder bezogen auf kontinentale. Eine Membran oder Membrane beschreibt dünne Strukturen mit unterschiedlichen Eigenschaften, die wie eine Haut oder Folie im Verhältnis zu ihrer Dicke eine große flächige Ausdehnung. "
RQ,Vorhang
RQ,"Vorhang steht für: Vorhang , auch Portiere, Rideau oder Gardine genannt Vorhang , zur Verhüllung der Bühne eines Theaters Vorhang , Agatha Christies letzter Hercule-Poirot-Roman. "
RQ,Isolierung
RQ,"Isolierung oder Isolation steht für: in der Biologie Isolation , die Aufteilung oder Trennung von Populationen Geographische Isolationin der Medizin Isolierung , eine Maßnahme zur. "
RQ,Jalousien
RQ,"Als Jalousie wird eine Anordnung von festen oder beweglichen Lamellen zum Sicht- und Sonnenschutz, aber auch zum Witterungsschutz bezeichnet, die dennoch die Belichtung oder Belüftung. "
RQ,Membran
RQ,"Eine Membran oder Membrane beschreibt dünne Strukturen mit unterschiedlichen Eigenschaften, die wie eine Haut oder Folie im Verhältnis zu ihrer Dicke eine große flächige Ausdehnung. "
RQ,Lärmschutzwand
RQ,"Als Lärm oder auch Krach werden Geräusche bezeichnet, die durch ihre Struktur auf die Umwelt störend , belastend oder gesundheitsschädigend wirken. "
RQ,Lärmschutz
